victim_set,victim_line_count,probe_set,count,sum_probe_time
1,2,3,3410,202992
1,2,4,3410,204599
1,2,5,3411,205887
1,2,6,3411,204245
1,2,7,3411,203974
1,2,8,3406,204988
1,2,9,3411,206790
1,2,10,3412,205616
1,2,11,3409,206427
1,2,12,3411,206477
1,2,13,3410,205123
1,2,14,3410,205401
1,2,15,3410,205342
1,2,16,3408,207092
1,2,17,3408,205752
1,2,18,3409,208439
1,2,19,3411,204455
1,2,20,3410,204595
1,2,21,3409,204549
1,2,22,3409,203971
1,2,23,3411,204666
1,2,24,3411,204734
1,2,25,3412,209202
1,2,26,3410,204888
1,2,27,3412,204190
1,2,28,3409,204420
1,2,29,3410,206321
1,2,30,3412,204226
1,2,31,3410,207957
1,2,32,3411,206390
1,2,33,3410,206293
1,2,34,3409,206128
1,2,35,3409,205802
1,2,36,3411,206634
1,2,37,3407,206520
1,2,38,3410,205320
1,2,39,3408,207414
1,2,40,3410,210346
1,2,41,3407,204626
1,2,42,3407,206195
1,2,43,3410,208150
1,2,44,3409,205968
1,2,45,3411,205607
1,2,46,3408,206988
1,2,47,3412,207213
1,2,48,3412,205767
1,2,49,3408,206971
1,2,50,3410,206496
1,2,51,3409,205374
1,2,52,3409,206291
1,2,53,3407,208352
1,2,54,3411,206110
1,2,55,3412,208361
1,2,56,3412,204378
1,2,57,3411,205078
1,2,58,3412,205273
1,2,59,3411,203848
1,2,60,3411,205236
1,2,61,3411,205552
1,2,62,3410,203975
1,2,63,3412,203261
1,3,0,3580,213067
1,3,1,3579,215528
1,3,2,3579,212846
1,3,3,3579,216214
1,3,4,3579,213873
1,3,5,3579,215293
1,3,6,3579,214933
1,3,7,3578,213820
1,3,8,3577,215742
1,3,9,3578,215599
1,3,10,3577,215212
1,3,11,3580,217441
1,3,12,3577,216354
1,3,13,3577,216043
1,3,14,3578,214702
1,3,15,3577,215145
1,3,16,3576,215609
1,3,17,3576,215319
1,3,18,3578,216096
1,3,19,3580,214338
1,3,20,3578,216579
1,3,21,3579,214050
1,3,22,3579,213667
1,3,23,3580,214122
1,3,24,3578,215724
1,3,25,3580,218528
1,3,26,3579,213751
1,3,27,3580,214242
1,3,28,3579,213831
