victim_set,victim_line,probe_set,count,sum_probe_time
0,11,61,1175,151098
0,11,62,1175,262266
0,11,63,1175,246388
0,12,0,1218,250784
0,12,1,1218,252380
0,12,2,1218,252660
0,12,3,1218,222028
0,12,4,1218,222264
0,12,5,1218,221452
0,12,6,1218,219852
0,12,7,1218,219362
0,12,8,1218,218550
0,12,9,1217,167620
0,12,10,1218,167014
0,12,11,1218,157756
0,12,12,1218,164106
0,12,13,1218,158052
0,12,14,1218,157412
0,12,15,1218,158358
0,12,16,1218,251496
0,12,17,1218,157710
0,12,18,1218,157120
0,12,19,1217,163168
0,12,20,1218,161734
0,12,21,1217,164316
0,12,22,1218,157580
0,12,23,1218,163224
0,12,24,1218,162516
0,12,25,1218,157466
0,12,26,1218,255810
0,12,27,1218,251020
0,12,28,1218,163090
0,12,29,1218,251090
0,12,30,1218,158100
0,12,31,1218,158352
0,12,32,1218,165130
0,12,33,1218,247768
0,12,34,1218,252512
0,12,35,1216,251822
0,12,36,1218,252468
0,12,37,1218,251906
0,12,38,1218,256302
0,12,39,1218,252770
0,12,40,1217,251776
0,12,41,1218,161532
0,12,42,1218,157718
0,12,43,1218,217252
0,12,44,1218,161218
0,12,45,1218,157698
0,12,46,1218,251216
0,12,47,1218,157180
0,12,48,1218,204994
0,12,49,1218,157846
0,12,50,1218,158066
0,12,51,1218,157872
0,12,52,1217,157986
0,12,53,1218,157600
0,12,54,1218,208724
0,12,55,1218,158066
0,12,56,1218,157412
0,12,57,1218,157356
0,12,58,1218,164410
0,12,59,1218,157172
0,12,60,1218,157588
0,12,61,1218,157860
0,12,62,1218,276532
0,12,63,1218,256022
1,0,0,1276,259436
1,0,1,1276,263254
1,0,2,1276,263080
1,0,3,1276,227852
1,0,4,1276,227834
1,0,5,1276,226700
1,0,6,1276,224438
1,0,7,1275,223236
1,0,8,1275,222986
1,0,9,1276,175404
1,0,10,1276,174470
1,0,11,1276,164796
1,0,12,1276,164680
1,0,13,1275,164782
1,0,14,1276,164744
1,0,15,1276,164592
1,0,16,1276,262436
1,0,17,1276,165142
1,0,18,1276,164440
1,0,19,1276,212360
1,0,20,1276,164598
1,0,21,1276,165450
1,0,22,1276,165378
1,0,23,1276,164862
1,0,24,1276,164584
1,0,25,1276,164778
1,0,26,1276,262494
1,0,27,1276,261982
1,0,28,1275,164598
1,0,29,1276,262420
1,0,30,1276,164924
1,0,31,1276,165064
1,0,32,1276,164208
1,0,33,1276,164700
1,0,34,1276,164952
1,0,35,1276,165480
1,0,36,1276,164878
1,0,37,1276,164740
1,0,38,1276,164462
1,0,39,1276,164902
1,0,40,1276,164656
1,0,41,1276,268826
1,0,42,1276,263330
1,0,43,1276,262958
